docid,target,generated,score
28514886,"Current evidence from systematic review and meta- analysis revealed that probiotics are the most promising intervention in reduction of the incidence of NEC in VLBW neonates .
As per the evidence , prebiotics modulate the composition of human intestine microflora to the benefit of the host by suppression of colonization of harmful microorganism and /or the stimulation of bifidobacterial growth , decreased stool viscosity , reduced gastrointestinal transit time , and better feed tolerance .","In this paper, the authors present a detailed description of the intestinal feal community in infants. They compare the different types of bacilli and their relative proportions to breastfed infants'. The results show that the prebiotic mixture induces an adult-like ""fecalmicrobiota"" which closely resemble those found in breastfed babies. This study is designed to determine whether enteral supplementing with short-chain gallacto-OLIGOSACCHARDES or long-chain Fruco-oligorigosacchardes improves intestinal permeabilities in preterm children. Preterm infant women are not affected by the changes in gut permeability as measured by sugar absorption tests in the first weeks of life. However, they do not increase the decrease in intestinal permeation in the last week of pregnancy. Furthermore, there is no significant difference in the ratio of bacterial counts between the two groups. Thus, it is important to take into account the levels of briskness when assessing the effect of entryal supplementation on the health of newborns.",0.5692230871271611
18842808,"The use of glucomannan did not appear to significantly alter any other study endpoints .
Pediatric patients , patients receiving dietary modification , and patients with impaired glucose metabolism did not benefit from glucomannan to the same degree .
Glucomannan appears to beneficially affect total cholesterol , LDL cholesterol , triglycerides , body weight , and FBG , but not HDL cholesterol or BP","The effects of soluble fiber Konjacglucomannaan on serum cholesterol levels were investigated in healthy men in double blindd crossover. After two weeks, the subjectswere given either active fiber or placebo for four wks. They showed significant reductions in total cholesterol concentrations by 10, p. 0.0001; low-denity lipophosphoproteincholestic content by 7.2 percent; trigllycerides by 24 %; and blood pressure by 2.3%. No change was observed in diatolic bloodpressure or body weight. The results show that glucosahal is an effective ""cholestelowering dietary adjudicator"". In this study, we examine the effect of different commercial fibers on weight reduction among overweight subjects. All fibers plus a balance 1200 gcal diet induce significant weight reduction than placebo and die alone during a 5 week observation period. There were no significant difference between the different types of fibers in its ability to induce fat reduction, which was about 0.8 kg per week. Conclusions glucomarnan induced bodies weight reduction in unhealthy overweight subjects whereas the added of guare gum and algins did not seem too cause additional loss",0.9220789683498882
24297836,Ensuring that the characteristics of the history and future ascents are similar may improve the clinical utility of AMS history,"In this study, we examine the autonomic function of mountain climbers at a high altitude to determine whether subjects suffering acute mountain sickness have signs of ""accidental dysfunction"" and whether they may be prone to developing AMS. Forty one mountaineers are studied during an ascent to 3,500 m above sea level in order to assess their symptoms. They were divided into two groups: subjects with acute mountain illness and subjects without arising from the disease. The first group was younger than the second group, and both groups had different resting blood pressures. This study is important because it will allow us to better understand the role of venous growth factor in acute mountain illnesses. We conclude that elevated levels of VEGF seem to play a key role in the early development of acute mountain sick.",0.8180484735975508
32367221,"The QT autograft detected comparable rate of Lachman test > 3 mm , Pivot shift test > 3 m and instrumental laxity > 3 mm .
The QT autograft showed a lower rate of autograft failure above all .
The QT autograft detected the reduced rate of AKP than the PT .
Quadriceps tendon autograft may represent a feasible option for primary ACL reconstruction .","The first four months after ACL-reconstruction are described in this paper. After two weeks, patients undergo a series of exercises to improve their knee function. At the end of these studies, there is little difference in pain and symptoms between the two groupings. In contrast, both groups have similar pain at 4 months. Both groups also report higher sports activity scores than those in the other group. This study concludes that neither type of autograft can be used for ACL reconstructation because of reduced harvest site symptoms and high injury rates. However, both types provide good long- term subjective and objective outcome. Short-term results show no differences in functional outcome or quality of life when compared with one another. Seventeen years later, no significant differences will be seen among the two groups. Functional outcome questions such as the modified Cincinnati knee Rating system and the International knee Documentation Committee are used to assess patient's functional and health status after knee surgical procedures. These surveys indicate that all patients with complicated knee problems receive improved functional outcomes from pre-operative measurements through the two- year follow- up.",0.0011715931258172376
25038833,"medicines with anti-cholinergic properties have a significant adverse effect on cognitive and physical function , but limited evidence exists for delirium or mortality outcomes","In this study, we examine the effects of a combination of darifanacin and an extended-relief morphine on memory function in older subjects. The results show that darifenachin causes significant memory decline but does not lead to any significant changes in other measures of mental function. We conclude that future studies need to look at elderly patients who have mild or moderately depressed mental health. Overactive bladders are common among the elderly because they are susceptible to drug-induced cognitive impairment. Darifinacin, an M1 selective antagonist, improves short term memory and executive functions in elderly people without clinical dementia. This study is designed to assess the relationship between cumulative use of antichollicity drugs and memory and brain function in elderly men. It shows that there is a strong association between the frequency of medication use and the severity of disease in older men. However, no difference is found between the risk of developing depression after eight years of treatment with concomitants.",0.9344091084927766
16801507,"This systematic review suggests that supplementation with phytonadione and menaquinone-4 reduces bone loss .
In the case of the latter , there is a strong effect on incident fractures among Japanese patients","In this study, the effect of adding glucotonicoid to bone loss is investigated. Twenty patients treated with chronic gypsy are given 15mg of vitamin K2, while 10 patients receive only 15ml of glucocarticoidin. The results show that the reduction in Osteocalcin induces bone loss. A phase 3 trial has been performed on 1649 post-menopaausal women who received strontium runelate for three years. Strontium reduced fractures in the first two years but did not increase bone mineral dentity. Women receiving higher levels of uclacinate osteocalcin had a lower relative risk of fracture than those receiving low levels. This suggests that high concentrations of phylentoquinonine may be associated with less bone loss and increased risk from hip fracture.",0.030363202831033984
11676811,"The trials suggest that work place exercise is effective , braces and education are ineffective , and workplace modification plus education is of unknown value in preventing low back pain","In this chapter, we discuss the use of both omised and historical controls for clinical trials. We find six treatments for which 50 are reported; only 10 of them agree. For each treatment, biases may irretrivevably weigh the outcome of these controls in favor of another type of treatment. A study is designed to compare two different exercise regimens on patients with back pain. After a one-year training program, patients were divided into three groups: a Calisthenic's program, a Back School program, and /control group. The results indicate that the calistheics program was superior to the control group because of the increased trunk forward flexor and initial increment in abdominable abdominal muscle strength. Further studies are needed to determine whether intensity or type of exercise can be used to prevent lowback pain. Both programs reduce absenteeiism by a significant amount. This study concludes that there is no difference in the effect of either intervention on low back injuries.",0.26355283916127253
12719681,"There was no consistent relationship with factors such as disease-specific or generic instrument or the number of response options .
Negative changes were not associated with larger ESs .
Population -based estimation procedures and brief follow-up were associated with smaller ESs , and acute conditions with larger ESs .","The aim of this study is to determine whether the quality of life measured by the Short Form 36-Question Observation Score can predict relapses for patients with severe obstruthive pulmonary disease. In addition, it is found that all three of the subscales are related to readmission and use of home nelser provision. A comparison between self-directed exercises and usual care in breast cancer patients shows that exercise at home improves physical functioning and health-related qualities of life. This improvement is not associated with improved lung function or exercise tolerance.",0.9196330619598249
26830881,"Our review confirms the usefulness of long-term pharmacological treatments for PD and GAD and suggests that they can provide further improvement over that obtained during short-term therapy .
Paroxetine , escitalopram , and clonazepam can be effective for long-term treatment of PD .
Pregabalin and quetiapine can be effective for long-term treatment of GAD , while preliminary suggestions emerged for agomelatine and vortioxetine .
We did not find any evidence for determining the optimal length and /or dosage of medications to minimize the relapse risk .","This study extends an eight-week naturalistic study of patients with anxiety disorder to a long-term, double- blinded trial. The mean daily doses for paroixepam and clonalzepam were 1.9 and 38.4, respectively; the mean daily dosages for pre gabalin were 3.87mg/d and 42.2, respectively. Both treatments reduce the number of anxious attacks and severe anxiety. In addition, both treatment groups have significantly reduced the frequency of these attacks. A significant proportion of the cumulative improvement in anxiety- related sleep disturbances is explained by itsdirect effect not mediated after improvements in anxiety severity. Two studies are presented: first, a prospective observational study on generalized anxiety disease that uses a Hamilton Anxiness Rating scale as predictors regarding remission. Second, he examines the effects of serotoninergic signaling on panic disorder. He concludes that there is a significant interaction between the SerotonIN transporter gene -- La/La or La/S Or S/S -- and the HTR2-A single-nusculotide Polymorphism -- rs75997012 which has been associated with improved treatment outcome in generalized anxieties. Finally, this study investigates the efficaciousness of quetivelin fumarate as maintenance monothérapie for patients with Generalized Agoraphobic Disorder. It was found that those who received it had a faster recovery than those who did not receive it. For example, one patient's response to quetipurine was better than that of another's but no difference was seen in the duration of time to recover from panic attacks.",0.3130171709673711
28611377,"These results showed that AF is an independent risk factor for MI , CV death , and CV events","Anticoagulation for strokes is recommended for patients with persistent atrial fibrillation. Those with persistent af have a greater risk of early mortality than those with paroxy-smal atrium fibrillation. In the absence of anticoagulation, these patients have an even higher risk of death after a stroke. The results of this study suggest that acute ischemic Stroke patients with atary fibrillations have fewer complications and a lower risk of dying from recurrent or unknown type of stroke. This does not mean that there is no advantage in treatment with thrombin. However, it does mean that some patients with severe AF die prematurely because they are more likely to develop flutter.",0.8104839252838871
