docid,target,generated,score
28514886,"Current evidence from systematic review and meta- analysis revealed that probiotics are the most promising intervention in reduction of the incidence of NEC in VLBW neonates .
As per the evidence , prebiotics modulate the composition of human intestine microflora to the benefit of the host by suppression of colonization of harmful microorganism and /or the stimulation of bifidobacterial growth , decreased stool viscosity , reduced gastrointestinal transit time , and better feed tolerance .","The 5′ nuclease assays were subsequently used to determine the relative amounts of different Bifidobacterium species in fecal sample s from infants receiving a st and ard formula or a ST and anrd t formula supplemented with galacto- and fructooligosaccharides ( OSF ). In conclusion, the specific prebiotic infant formula used induces a facultative microbiota that closely resembles the microbiota of breast-fed infants also at the level of the different bifidibacteria species""",0.3018511733213381
18842808,"The use of glucomannan did not appear to significantly alter any other study endpoints .
Pediatric patients , patients receiving dietary modification , and patients with impaired glucose metabolism did not benefit from glucomannan to the same degree .
Glucomannan appears to beneficially affect total cholesterol , LDL cholesterol , triglycerides , body weight , and FBG , but not HDL cholesterol or BP","GM fibers reduced total cholesterol ( TC ) concentrations by 10 % ( P  0.0001 ), low-density-lipoprotein cholesterol, LDL-C ; the effect of the drug on triglyceride levels was observed in the placebo group at the beginning of this study, but no significant difference was evaluated between the two groups at end of study. The only experimental design that evaluated the effects of glucomannan on lipid metabolism under 30 years of age was a double-blind placebo trial ( the children were enrolled under the supervision of a physician) 'BACKGROUND Fiber supplements added to a caloric diet have additional effects on weight reduction in overweight subjects?",0.9730556210310805
24297836,Ensuring that the characteristics of the history and future ascents are similar may improve the clinical utility of AMS history,"The purpose of this study was 1 ) to evaluate whether subjects suffering from acute mountain sickness ( AMS ), during exposure to high altitude have signs of autonomic dysfunction and 2 )( to verify whether autonomic variables at low altitude may identify subjects who are prone to develop AMS. Results by means of the Lake Louise score, autonomic cardiovascular function was explored using spectral analysis of R-R interval and blood pressure ( BP ).",0.7321293510706571
32367221,"The QT autograft detected comparable rate of Lachman test > 3 mm , Pivot shift test > 3 m and instrumental laxity > 3 mm .
The QT autograft showed a lower rate of autograft failure above all .
The QT autograft detected the reduced rate of AKP than the PT .
Quadriceps tendon autograft may represent a feasible option for primary ACL reconstruction .","Pain on kneeling, KT-1000 measured side to side difference in anterior tibial cartilage displacement ( isokinetic assessment of quadriceps and hamstring peak torque deficits ) was reported as an ideal outcome of patients with arthroscopic surgery at 2 years. In this study, radiographic findings were used to measure the extent of anterior cruciate ligament rupture ( ACL ), and to compare the 10-year outcomes of ACL reconstruction using either PT or HT autografts.",0.012694416059793875
25038833,"medicines with anti-cholinergic properties have a significant adverse effect on cognitive and physical function , but limited evidence exists for delirium or mortality outcomes","RESULTS Results of the Name-Face Association Test at week 3 showed no significant difference between darifenacin and placebo on delayed recall ( mean difference, -0.06 ).",0.00255862467127433
16801507,"This systematic review suggests that supplementation with phytonadione and menaquinone-4 reduces bone loss .
In the case of the latter , there is a strong effect on incident fractures among Japanese patients","The present study demonstrated that the inhibition exerted by vitamin K2 of the reduction in OPG induced by GC may, at least in part, play a role in the prevention and treatment of GC-induced bone loss.' 'BACKGROUND Osteoporotic vertebral fracture and bone fractures result from reduced bone formation and increased bone resorption ; to evaluate the efficacy of strontium ranelate?",0.10806122410750917
11676811,"The trials suggest that work place exercise is effective , braces and education are ineffective , and workplace modification plus education is of unknown value in preventing low back pain","The predictive value of each might be improved by reconsidering the use of p less than 0.05 as the significance level for all types of clinical trials (Master thesis, and by the application of confidence intervals around estimates of treatment effects' 'A clinical trial, aim ed for secondary prevention of low-back pain (conventional physiotherapy ) and a conventional training program were performed in a Norwegian hospital employees reporting at least three annual episodes of this condition. Patients were monitored for 12 months after the supervised training period (12.5 % ), and the effect of the training on patients was observed after a follow-up period of 16 months ; the study was carried out as an open-ended study : the participants were randomly assigned to one of three groups and supervised by a physiotherapist ).",0.8891645838996564
12719681,"There was no consistent relationship with factors such as disease-specific or generic instrument or the number of response options .
Negative changes were not associated with larger ESs .
Population -based estimation procedures and brief follow-up were associated with smaller ESs , and acute conditions with larger ESs .","The mean ( SD ) forced expiratory volume in one second ( FEV1 ); P =.01 ; Symptom-related quality of life ( and site-specific disease) scores were compared between the self-directed exercise groups (I and II), and supervised aerobic therapy (P  0.05) were observed. Logistic regression analysis of the three SGRQ subscales ( POSE ), Impact and Activity ed, adjusting for lung function : women were significantly related to hospital discharge and re-admission (' difference = 4.8 ] CONCLUSIONS: supervised exercise and breast cancer therapy are associated with reduced physical functioning and psychosocial distress in patients with COPD.",0.9948402508664376
26830881,"Our review confirms the usefulness of long-term pharmacological treatments for PD and GAD and suggests that they can provide further improvement over that obtained during short-term therapy .
Paroxetine , escitalopram , and clonazepam can be effective for long-term treatment of PD .
Pregabalin and quetiapine can be effective for long-term treatment of GAD , while preliminary suggestions emerged for agomelatine and vortioxetine .
We did not find any evidence for determining the optimal length and /or dosage of medications to minimize the relapse risk .","Methods A and B were analyzed using the Hamilton Anxiety Scale ( GAD ) and the Clinical Global Impression (CGI)–Improvement model, respectively.['Abstract This long-term extension of an 8-week r and omized study in patients with panic disorder with or without agoraphobia compared the efficacy and safety of clonazepam ( n = 47 ), P21.6 ] mg/d and paroxetine (38.2 ]) over a 3-year total treatment duration.",0.3098871532698741
28611377,"These results showed that AF is an independent risk factor for MI , CV death , and CV events","Methods and results Patients r and omized in the Rivaroxaban BID Once Daily Oral Direct Factor Xa Inhibition Compared With Vitamin K Antagonism for Prevention of Stroke and Embolism Trial in Atrial Fibrillation ( ROCKET-AF ) trial ( n = 14 264 ), were grouped by baseline AF category : paroxysmal or persistent. The initial stroke was more likely to be ischemic ( P = 7, compared with 7 % in patients with warfarin ; the proportion of patients who had stroke within 48 hours was 3.9 % ).",0.6966797817769286
