review_id,summary
28514886,There was no statistically significant difference in the incidence of septicaemia between prebiotic and nonprebiotic formulas.
18842808,RESULTS The results of this meta- analysis suggest that fiber supplements may be effective in the treatment of overweight and obese patients.
24297836,Conclusions : This systematic review provides evidence that the use of ACETazolamide during mountain ascent is associated with an increased risk of acute mountain sickness
32367221,Conclusions : There is no evidence to support the use of autograft-based ACL reconstruction in patients with anterior knee pain.
25038833,There was no evidence of a statistically significant association between the use of antipsychotics and cognitive impairment in older people.
16801507,The results of this meta- analysis suggest that vitamin K is effective in reducing the risk of fractures in patients with osteoprosis
11676811,There was no evidence of a significant difference in the incidence of low back injuries between interventions.
12719681,There was no evidence of a statistically significant difference between the two groups in terms of quality of life or exercise tolerance.
26830881,There was no statistically significant difference between SSRI monotherapy and placebo in the incidence of sexual adverse events.
28611377,Conclusions : There is no evidence to support or refute the use of anti-coagulant therapy in people with AF
28449030,Conclusions : This systematic review provides evidence that indirect protection of children and adults with PCVs is associated with increased risk of infectious disease.
27888169,There was no evidence that telemedicine interventions were associated with improved clinical outcomes in patients with Type 2 diabetes compared to usual care
20088746,AUTHORS'CONCLUSIONS There is insufficient evidence to support or refute the use of vitamin B12 as a treatment for FCM
27040323,There was no evidence of a significant difference in mortality between the probiotics and control groups.
20379700,There was no evidence to support the use of BMD testing as a tool for improving bone mineral density in women with OPBs.
28616252,AUTHORS'CONCLUSIONS There is insufficient evidence to support or refute the use of PRT for people with MS
30045708,Conclusions The results of this systematic review suggest that a significant increase in the prevalence of latent trigger points is associated with an increased risk of migraine and headache severity.
31760943,The results of this meta- analysis suggest that RS may be an effective prebiotic in the treatment of T2DM
24717371,Iron supplementation was associated with a significant increase in blood iron concentration and an increase in exercise performance.
26005199,Conclusions : This systematic review suggests that mindfulness-based interventions may be effective in the treatment of FM symptoms.
29353323,Conclusions : There is insufficient evidence to support or refute the use of extended-release stimulant medication for children with ADHD
27473099,The results of this meta- analysis suggest that the use of estrogen replacement therapy in young adults with TS is safe and effective.
26739716,Conclusions : There is insufficient evidence to support the use of pain-related fear as an outcome predictor for chronic LBP
29318741,There was no evidence to support or refute the use of magnificent loupes in dental education.
23236190,The results of this meta- analysis suggest that spa therapy is effective in reducing pain and improving functional capacity
22575611,There is insufficient evidence to support the use of a combination of lithium and levetiracetesam for treatment of acute bipolar depression
30113661,The results of this systematic review suggest that probiotic supplementation may be effective in reducing the risk of non-alcoholic liver disease
30511328,There was no statistically significant difference between the two groups in terms of BMI.
17595425,Conclusions : There is insufficient evidence to support or refute the use of risk assessment tools for predicting falls
23324965,There was no significant difference between the cementless and cemented cup groups in terms of perioperative loosening
23771266,The results of this systematic review suggest that the use of mud baths to treat FMS is associated with significant improvements in pain and tender points.
25442969,Conclusions : This systematic review suggests that social networks may influence the behavior of people with similar health traits.
29508661,There was no evidence of a significant difference between fixed and uncemented prostheses for the duration of follow-up in patients with knee osteoarthroplasty
25162440,Conclusions Percutaneous drainage was associated with a lower risk of anatomotic morbidity than antibiotics.
29359958,Conclusions : There is no evidence to support or refute the efficacy of RSV supplementation in patients with Type 2 Diabetes Mellitus.
31521554,AUTHORS'CONCLUSIONS There is insufficient evidence to support or refute the use of home exercise programmes for people with PwP
23958262,There was no evidence of a significant difference in the risk of nonfatal heart disease or cardiovascular events.
31860103,There is no evidence to support or refute the use of vitamin D as a preventative measure for hip fracture in older people.
15289592,Conclusions : There is no evidence to support or refute the use of back school for the prevention of work-related low back pain
24855158,Conclusions : This systematic review provides evidence that the use of cell phone technology to improve diabetes self- management is effective and can be implemented in primary care settings.
29943231,"In conclusion, there is limited evidence to support or refute the role of training volume in increasing injury risk among sports players."
29596560,Conclusions : There is insufficient evidence to support or refute the use of patient-centered interventions for wound healing following surgery.
22723585,"In conclusion, the results of this systematic review suggest that Fructose diet is associated with an increased risk of cancer in adulthood."
26420387,There was no evidence of an association between calcium intake and fracture risk.
27416628,Conclusions : There is insufficient evidence to support or refute the use of probiotics as an antigen-avoiding diet for infants at risk of allergic diseases.
25767138,There was no significant difference in exercise capacity between the two groups.
25431555,Conclusions : There is insufficient evidence to support or refute the use of EEG as a treatment for ADHD
30854594,The results of this systematic review suggest that probiotics are effective in reducing systemic inflammation in patients with chronic disease.
27405704,There was no evidence of a significant effect of genetic testing on weight loss.
25985235,Conclusions : There is no evidence to support the use of ALC in children with ADHD.
32382836,There was no evidence of a significant difference in postoperative pain or quality of life between the two groups.
24392600,Conclusions : This systematic review supports the use of telemedicine to improve diabetes self-care in rural communities
25142703,There was no statistically significant difference between the two groups in terms of fatigue.
29856237,Conclusions Nurse-led interventions are effective in reducing BP after stroke or TIA
32201245,The results of this systematic review suggest that NS is safe and effective in the treatment of hypertension
25828270,There was no evidence to support the use of a long-term treatment for patients with hyperlipidemia
31483070,AUTHORS'CONCLUSIONS There is insufficient evidence to support the use of combination therapy as first-line treatment for OAB
25354945,There was no evidence of a significant difference in the rate of emptying between healthy and non-healthy patients.
22525963,There was no significant association between circulating testosterone levels and the incidence of coronary events.
29760253,Conclusions : This systematic review provides evidence that tapering off benzodiazapine is effective in the treatment of chronic insomnia
26055921,There was no evidence of a significant association between folate levels and depression symptoms.
29238651,There was no evidence of a significant difference in the number of full or partial panic attacks after treatment with either antidepressant or SSRI.
23650680,Conclusions : There is insufficient evidence to support or refute the use of chemotherapy for patients with OVCT.
18843651,There was no statistically significant difference in blood pressure between the two groups.
28093732,There was no evidence of a significant difference in the risk of breast cancer with or without CEE.
